Relay URL,Latitude,Longitude
staging.yabu.me,35.6092,139.73
nostr.rtvslawenia.com:443,49.4543,11.0746
nostr-relay.xbytez.io:443,50.6924,3.20113
public.crostr.com:443,43.6532,-79.3832
nostr.ltd,19.076,72.8777
nostr-02.uid.ovh,50.9871,2.12554
nostr.islandarea.net:443,35.4669,-97.6473
relay.kilombino.com,43.6532,-79.3832
relay.satlantis.io,39.0438,-77.4874
nostr.computingcache.com,45.5341,-122.956
nostr.wecsats.io,43.6532,-79.3832
nostr-relay.zimage.com,34.282,-118.439
nostr.tbxnetworx.de,47.8226,10.0064
relay-can.zombi.cloudrodion.com,43.6532,-79.3832
relay.klabo.world,47.674,-122.122
auth.nostr1.com,40.7057,-74.0136
relay.degmods.com,50.4754,12.3683
relay.olas.app,60.1699,24.9384
fanfares.nostr1.com,40.7057,-74.0136
node.kommonzenze.de,49.4521,11.0767
relay.bitos.space,43.6532,-79.3832
relay01.lnfi.network,35.6764,139.65
relay.froth.zone,60.1699,24.9384
denimroad.feeds.relay.tools,38.6327,-90.1961
nostr.myshosholoza.co.za,52.3676,4.90414
21milionidinostr.duckdns.org,41.8945,12.6493
relay.getvia.xyz,60.1699,24.9384
ribo.us.nostria.app,43.6532,-79.3832
relay.nostrhub.fr,48.1045,11.6004
talon.quest,43.6532,-79.3832
portal-relay.pareto.space,49.4521,11.0767
relayone.geektank.ai,39.0997,-94.5786
relay.orangesync.tech,40.7128,-74.006
strfry.apps3.slidestr.net,40.4167,-3.70329
relay.mleku.dev,32.7767,-96.797
relay.nostrian-conquest.com,41.223,-111.974
relay.underorion.se,50.1109,8.68213
vault.iris.to,43.6532,-79.3832
schnorr.me,43.6532,-79.3832
relay.bullishbounty.com:443,43.6532,-79.3832
relay.i9.eti.br,43.6532,-79.3832
nostr-pub.wellorder.net,45.5201,-122.99
relay.cyberguy.fyi,52.6907,4.8181
relay.mappingbitcoin.com,43.6532,-79.3832
nostr-relay.acloud.kdns.fr,43.6532,-79.3832
nostr.2b9t.xyz,34.0549,-118.243
nostr.2b9t.xyz:443,34.0549,-118.243
dev-relay.nostreon.com,60.1699,24.9384
nostr.purpura.cloud,43.6532,-79.3832
nos.lol:443,50.4754,12.3683
nostr-relay.corb.net,39.6478,-104.988
relay.scuba323.com,40.8218,-74.45
relay.agora.social,50.7383,15.0648
nostr.data.haus,50.4754,12.3683
relay.satsapp.me,50.4754,12.3683
nostr-rs-relay-ishosta.phamthanh.me,43.6532,-79.3832
nostr.hekster.org:443,37.3986,-121.964
relay.btcforplebs.com,43.6532,-79.3832
relay-arg.zombi.cloudrodion.com,1.35208,103.82
nostr.wild-vibes.ts.net,48.8566,2.35222
relay.bornheimer.app,50.1109,8.68213
relay02.lnfi.network,35.6764,139.65
relay.kaleidoswap.com,50.8476,4.35717
strfry.shock.network,39.0438,-77.4874
nostr.txlyre.website,60.1699,24.9384
nostr.twinkle.lol,51.902,7.6657
relay.satmaxt.xyz,43.6532,-79.3832
relay.vrtmrz.net:443,43.6532,-79.3832
aurum.saturnali.net,46.2044,6.14316
nostrrelay.taylorperron.com,45.5029,-73.5723
nostrelay.circum.space,52.2245,8.826
relay.mostr.pub:443,43.6532,-79.3832
nostr.data.haus:443,50.4754,12.3683
relay.nostreon.com,60.1699,24.9384
relay.plebeian.market:443,50.1109,8.68213
relay.damus.io,43.6532,-79.3832
budabit.nostr1.com,40.7057,-74.0136
bucket.coracle.social,37.7775,-122.397
relay.chorus.community:443,50.7529,6.84585
relay.hivetalk.org,40.8302,-74.1299
relay.favillakey.io,-27.4705,153.026
nostr.mom,50.4754,12.3683
relay2.orangesync.tech,40.7128,-74.006
relay.artiostr.ch,43.6532,-79.3832
relay.lacrypta.ar,43.6532,-79.3832
treuzkas.branruz.com,48.8575,2.35138
relay2.veganostr.com,60.1699,24.9384
borgar.lol,52.3676,4.90414
relay.ltgnet.work:8443,51.0511,-114.075
relay.nostrmap.net,60.1699,24.9384
nostr.mom:443,50.4754,12.3683
relay.decentralia.fr,48.122,11.589
relay.atsocy.com,43.6532,-79.3832
strfry.shock.network:443,39.0438,-77.4874
relay.vrtmrz.net,43.6532,-79.3832
0x-nostr-relay.fly.dev,38.7946,-106.535
relay.veganostr.com,60.1699,24.9384
relay.nostr.bond,40.1885,29.061
relay.angor.io,48.1046,11.6002
nostr.sathoarder.com:443,48.5734,7.75211
nostr.oxtr.dev,50.4754,12.3683
dev.relay.stream,43.6532,-79.3832
relay.mitchelltribe.com,39.0438,-77.4874
nostr-relay.cbrx.io,43.6532,-79.3832
nostr2.girino.org:443,43.6532,-79.3832
relay.snotr.nl:49999,51.9758,4.31389
n.musicroadmap.com,35.694,139.754
relay.loveisbitcoin.com,43.6532,-79.3832
relay.conduit.market,38.7946,-106.535
schnorr.me:443,43.6532,-79.3832
nostr-kyomu-haskell.onrender.com,37.7775,-122.397
nostr.dlcdevkit.com,40.0992,-83.1141
relay2.angor.io,48.1046,11.6002
nostr.hifish.org,47.4009,8.57814
rele.speyhard.fi,51.5072,-0.127586
nostr.chaima.info:443,51.5072,-0.127586
relay.trotters.cc:443,43.6532,-79.3832
nostrmxn.lulus.com.mx,59.4016,17.9455
chat-relay.zap-work.com:443,43.6532,-79.3832
relay.tdw.gg,34.0549,-118.243
relay.ohstr.com,43.6532,-79.3832
relay.guggero.org,46.5971,9.59652
nostr.stakey.net:443,52.3676,4.90414
dev-relay.nostr.space,43.6532,-79.3832
nostr.snowbla.de,50.4754,12.3683
relay.piazza.today,48.122,11.589
relay.fountain.fm:443,43.6532,-79.3832
relay-dev.gulugulu.moe,43.6532,-79.3832
relay.ditto.pub:443,43.6532,-79.3832
vm-1734.lnvps.cloud,53.3498,-6.26031
relay.beginningend.com,35.2227,-97.4786
nos.lol,50.4754,12.3683
nostr-01.yakihonne.com:443,1.32123,103.695
relay.sigit.io:443,50.4754,12.3683
nostr.janx.com,43.6532,-79.3832
relay.wavlake.com,41.2619,-95.8608
relayrs.notoshi.win:443,43.6532,-79.3832
openrelay.ziomc.com,45.4642,9.18998
nostr.88mph.life,52.1941,-2.21905
maxq.descendant.io,43.6532,-79.3832
nostr.wecsats.io:443,43.6532,-79.3832
relay.bitmacro.cloud,43.6532,-79.3832
relay.lightning.pub,39.0438,-77.4874
strfry.bonsai.com,39.0438,-77.4874
chat-relay.zap-work.com,43.6532,-79.3832
relay.illuminodes.com,43.6532,-79.3832
nostr.thebiglake.org,32.71,-96.6745
ribo.eu.nostria.app,43.6532,-79.3832
relay.novospes.com,43.6532,-79.3832
nostr.notribe.net,40.8302,-74.1299
nostr-relay.corb.net:443,39.6478,-104.988
relay.pprgb.app,52.52,13.405
relay.wellorder.net,45.5201,-122.99
relay.mitchelltribe.com:443,39.0438,-77.4874
cyberspace.nostr1.com,40.7057,-74.0136
bruh.samt.st,43.6532,-79.3832
nostr.davenov.com,50.1109,8.68213
nostr.sovereignservices.xyz,43.6532,-79.3832
relay-dev.gulugulu.moe:443,43.6532,-79.3832
nostr.unkn0wn.world,46.8499,9.53287
relay.nostr.space,43.6532,-79.3832
infinity-signal-relay.digitalforlifeagency.workers.dev,43.6532,-79.3832
relay.ezernode.net,52.6921,6.19372
no.str.cr,8.96171,-83.5246
spamspamspamspam.rest,43.6532,-79.3832
relay.ru.ac.th,13.7607,100.627
relay.tdw.lol,41.8781,-87.6298
buzz.cashu.space,50.1109,8.68213
relay.duck1123.com,43.6532,-79.3832
relay.tapestry.ninja,40.8054,-74.0241
relay.layer.systems,49.0291,8.35695
relay.dyne.org,49.0291,8.35705
relay.aidatanorge.no,43.6532,-79.3832
relay.opmaat.org,60.1699,24.9384
nostr.azzamo.net,52.2633,21.0283
relay.mccormick.cx,52.3563,4.95714
relay.nostr.com,50.1109,8.68213
nostr.plantroon.com,50.1013,8.62643
support.flotilla.social,32.9483,-96.7299
relay.veganostr.com:443,60.1699,24.9384
relay.notoshi.win,12.9333,100.883
relay.edufeed.org,49.4521,11.0767
memlay.v0l.io,53.3498,-6.26031
bitcoiner.social,47.6743,-117.112
relay.manneken.brussels,49.4543,11.0746
nosflare-leefcore.leefcore.workers.dev,43.6532,-79.3832
no.str.cr:443,8.96171,-83.5246
relay.cosmicbolt.net,37.3986,-121.964
relay.getsafebox.app:443,43.6532,-79.3832
relay.aarpia.com,37.3986,-121.964
nostr.sathoarder.com,48.5734,7.75211
relay.getsafebox.app,43.6532,-79.3832
nostr.chaima.info,51.5072,-0.127586
relay.ditto.pub,43.6532,-79.3832
nostr.4rs.nl,49.0291,8.35696
rilo.nostria.app,43.6532,-79.3832
nostr.christiansass.de,51.7883,6.13865
relay.paulstephenborile.com:443,49.4543,11.0746
relay.earthly.city,34.1749,-118.54
inbox.scuba323.com,40.8218,-74.45
nostr-01.yakihonne.com,1.32123,103.695
articles.layer3.news:443,37.3387,-121.885
offchain.pub,39.1585,-94.5728
strfry.bonsai.com:443,39.0438,-77.4874
relay.nostriot.com,41.5695,-83.9786
relay.bullishbounty.com,43.6532,-79.3832
dm-test-strfry-generic.samt.st,43.6532,-79.3832
relay.lanacoin-eternity.com:443,40.8302,-74.1299
dm-test-strfry-discovery.samt.st,43.6532,-79.3832
nostr.emanuelemiani.it,45.778,8.79414
reraw.pbla2fish.cc,43.6532,-79.3832
relay.s-w.art,43.6532,-79.3832
relay.nostrcheck.me,43.6532,-79.3832
relay.npubhaus.com,43.6532,-79.3832
nostr.vulpem.com,49.4543,11.0746
relay.wasabiwallet.io,43.6532,-79.3832
nostr.liberty.fans,36.8767,-89.5879
relay.paulstephenborile.com,49.4543,11.0746
relay.nostrmap.net:443,60.1699,24.9384
tribune-panel-growing-noon.trycloudflare.com,43.6532,-79.3832
relay-na1.metanomalist.com,43.6532,-79.3832
relay.agentry.com,42.8864,-78.8784
relay.samt.st,40.8302,-74.1299
relay.nostx.io,43.6532,-79.3832
relay.cosmicbolt.net:443,37.3986,-121.964
relayrs.notoshi.win,43.6532,-79.3832
adre.su,59.9311,30.3609
nostrcheck.me,43.6532,-79.3832
relay-us.zombi.cloudrodion.com,40.7862,-74.0743
nrs-01.darkcloudarcade.com,39.0997,-94.5786
relay.nmail.li,50.9871,2.12554
relay.wisp.talk,49.4543,11.0746
relay.mostr.pub,43.6532,-79.3832
relay.jmoose.rocks,32.8009,-96.8195
relay.laantungir.net,-19.4692,-42.5315
nostr.nodesmap.com,59.3327,18.0656
freelay.sovbit.host,60.1699,24.9384
soloco.nl,43.6532,-79.3832
ribo.nostria.app,43.6532,-79.3832
relay.chatbett.de,40.7128,-74.006
groups.beginningend.com,35.2227,-97.4786
relay.chorus.community,50.7529,6.84585
wisp.djorivaltech.com,43.6532,-79.3832
nostr-02.yakihonne.com,1.32123,103.695
